event,time,long,lat,speed,height,stage,tag
1583646854,4/1/2012 17:00,-121.60717,38.68533,0.51444,30,preHatching,105930
1583646855,4/1/2012 18:00,-121.61217,38.67767,14.40432,160,preHatching,105930
1583651119,4/1/2012 18:00,-121.59383,38.75883,0,80,arrival,105936
1583646856,4/1/2012 19:00,-121.60867,38.68183,1.02888,140,preHatching,105930
1583646857,4/1/2012 20:00,-121.60783,38.6815,0.51444,120,preHatching,105930
1583651120,4/1/2012 20:00,-121.58583,38.76233,0,210,arrival,105936
1583646858,4/1/2012 21:00,-121.60317,38.68467,6.17328,90,preHatching,105930
1583646859,4/1/2012 22:00,-121.6045,38.684,5.1444,110,preHatching,105930
1583651121,4/1/2012 22:00,-121.59133,38.768,14.91876,270,arrival,105936
1583646860,4/1/2012 23:00,-121.60983,38.68583,8.23104,120,preHatching,105930
1583646861,4/2/2012 0:00,-121.60667,38.685,8.23104,40,preHatching,105930
1583651122,4/2/2012 0:00,-121.593,38.7595,0,30,arrival,105936
1583646862,4/2/2012 1:00,-121.6056671,38.68499398,0,30,preHatching,105930
1583646863,4/2/2012 2:00,-121.6063399,38.6851786,0,30,preHatching,105930
1583651123,4/2/2012 2:00,-121.5936729,38.75883417,0,30,arrival,105936
1583646864,4/2/2012 3:00,-121.61167,38.69483,0,30,preHatching,105930
1583646865,4/2/2012 16:00,-121.6075,38.68483,0,30,preHatching,105930
1583651124,4/2/2012 16:00,-121.58033,38.75933,0,30,preHatching,105936
1583646866,4/2/2012 17:00,-121.604,38.68383,0,30,preHatching,105930
1583646867,4/2/2012 18:00,-121.60217,38.68333,6.17328,150,preHatching,105930
1583651125,4/2/2012 18:00,-121.5936683,38.75882913,0,50,preHatching,105936
1583646868,4/2/2012 19:00,-121.60667,38.684,2.5722,240,preHatching,105930
1583646869,4/2/2012 20:00,-121.606,38.68367,10.2888,260,preHatching,105930
1583651126,4/2/2012 20:00,-121.58567,38.76,10.80324,260,preHatching,105936
1583646870,4/2/2012 21:00,-121.60533,38.68217,11.31768,200,preHatching,105930
1583646871,4/2/2012 22:00,-121.61067,38.68483,6.17328,80,preHatching,105930
1583651127,4/2/2012 22:00,-121.59133,38.757,5.65884,140,preHatching,105936
1583646872,4/2/2012 23:00,-121.60583,38.68517,0,60,preHatching,105930
1583646873,4/3/2012 0:00,-121.6081768,38.6863296,0,30,preHatching,105930
1583651128,4/3/2012 0:00,-121.5915,38.7595,0,100,preHatching,105936
1583646874,4/3/2012 1:00,-121.6071773,38.68517783,0,30,preHatching,105930
1583646875,4/3/2012 2:00,-121.60817,38.686,0,30,preHatching,105930
1583651129,4/3/2012 2:00,-121.5918207,38.75916403,0,40,preHatching,105936
1583646876,4/3/2012 3:00,-121.60783,38.686,0,30,preHatching,105930
1583639037,4/3/2012 16:00,-121.55833,38.61083,6.17328,60,preHatching,105923
1583646877,4/3/2012 16:00,-121.61,38.68633,0,30,preHatching,105930
